candidate,id,text,createdDate,favoriteCount,retweetCount,polarity,tweetBinary
JoeBiden,1125826631245926408,I’m so inspired by @DrBiden for her dedication to educating future generations. Happy #TeacherAppreciationDay to all the hardworking educators out there! https://t.co/wAZ4rseqkq,2019-05-07,245,46,0.5,1
JoeBiden,1125819080919769094,"Folks, we’re getting ready for our event this afternoon in Nevada and we’d love to see you there! RSVP at: https://t.co/DmLgUJfzsE",2019-05-07,387,71,0.4125,1
JoeBiden,1125544863305433091,"@samanthapetrick Hey Rocco, happy 9th birthday! Sorry I missed the party. I hope you got some ice cream with that #Biden2020 cookie.",2019-05-06,40,5,0.25,1
JoeBiden,1125529422205816834,"Congratulations to the Duke and Duchess of Sussex, Prince Harry and Meghan Markle, on the birth of their baby boy! The truth is there’s no better job than being a parent. Jill and I wish you the best of luck on your next chapter.",2019-05-06,14051,955,0.25,1
JoeBiden,1125515077564502016,"On Saturday, Jill and I visited Columbia, South Carolina, to discuss how we’ll build an inclusive middle class where everyone — regardless of race, gender, sexual orientation, religion or disability — comes along. Thank you to everyone who joined us, we’ll be back soon! https://t.co/jly3piXzPE",2019-05-06,2830,421,0.16666666666666666,1
JoeBiden,1125497461785616386,"Nevada, we’re taking our campaign to Henderson tomorrow, May 7th! Head to https://t.co/zTS0WldilG to RSVP and come join us.",2019-05-06,1068,213,0.0,1
JoeBiden,1125196320816467969,"On this first day of Ramadan, Jill and I wish peace and happiness to Muslims around the world celebrating the holy month. Ramadan Kareem.",2019-05-06,14887,1754,0.475,1
JoeBiden,1125177603780825089,"Our country may seem more divided than ever, but I know our best days are still ahead. It’s time we lift our heads up and remember who we are. If you’re ready to get to work, join our campaign today. https://t.co/lyhRyWPhvS",2019-05-05,3634,596,0.5666666666666667,1
JoeBiden,1125113934619406337,"We’re in the battle for the soul of this nation, but I’ve never been more optimistic about our future. If we work together, I know we can get this country back on track. Join our campaign: https://t.co/lyhRyWPhvS",2019-05-05,5133,894,0.16666666666666666,1
JoeBiden,1125094498927878144,America is an idea that has grown stronger through the unique contributions of Latinos. @latinovictoryus works tirelessly to empower the community — congrats on 5 years. https://t.co/RtU4weYxnT,2019-05-05,1380,306,0.375,1
CoryBooker,1125810331786338311,"We have to make it easier to connect guns to crimes. That’s why my plan will require handgun microstamping, which will enable law enforcement to quickly identify the gun used in a crime. https://t.co/6dTQ3SGJcM",2019-05-07,371,99,0.3333333333333333,1
CoryBooker,1125795831498539008,"Bad policies like the forced pregnancy bill are a direct result of voter suppression. If leaders can silence Georgians’ voices at the ballot box, they can ignore Georgians’ voices when in office. We will fight back in court and at the voting booth. #HB481 https://t.co/15iOJWaBUU",2019-05-07,0,1594,-0.22499999999999998,0
CoryBooker,1125756949159608320,The gun industry should be held accountable for its role in the gun violence epidemic. We need to end legal immunity and help survivors seek justice. https://t.co/6dTQ3SGJcM https://t.co/V8Mx1LZbu6,2019-05-07,627,141,0.2,1
CoryBooker,1125582942066155520,One hundred Americans are killed with guns every day. Gun violence is shattering our communities—but we don't have to live that reality. Text ENOUGH to 40203 to learn more about my plan to end the epidemic and how you can take action. https://t.co/7fHJkbjo3K,2019-05-07,472,127,0.10727272727272727,1
CoryBooker,1125567016532873216,.@CoryBooker is showing and not telling! https://t.co/Qk4wvxAmKZ,2019-05-07,0,125,0.0,0
CoryBooker,1125561010990067714,"As we were filming in my neighborhood, three men were injured in a shooting a block away. When I say my fight to end gun violence is personal, this is why. 
https://t.co/6dTQ3SGJcM https://t.co/P9WqGPArP8",2019-05-07,2036,453,0.0,1
CoryBooker,1125527203343736833,"Rick (again) welcome to the Senate. 

May we do better at what our nation needs more of:

More grace &amp; less gratuitous jabs. 
More debating ideas &amp; less demeaning people. 
More kindness &amp; more kindness. 

I'm far from perfect in this. But I'll do better. Let's talk n person soon. https://t.co/Zoi1Lvfc23",2019-05-06,19260,2724,0.35128205128205126,1
CoryBooker,1125520067020632065,"2020 candidates like Senator Booker are making gun safety a cornerstone of their campaigns—a seismic shift from past campaigns, when gun safety was the third rail of American politics. https://t.co/xtc8eYLo1g",2019-05-06,0,135,-0.08333333333333333,0
CoryBooker,1125496749974593544,"During this special month, I want to wish a blessed Ramadan to our Muslim family across the world. May you find spiritual fulfillment and renewal as you celebrate this holy time. Ramadan Kareem!",2019-05-06,1224,131,0.17857142857142858,1
